,NAVINFLUOR.NS,PEL.NS,AARTIIND.NS,RPOWER.NS,PNBHOUSING.NS,AMBER.NS,IDBI.NS,LALPATHLAB.NS,ANANTRAJ.NS,RKFORGE.NS,SONATSOFTW.NS,DEVYANI.NS,SHYAMMETL.NS,NBCC.NS,FSL.NS,ASTERDM.NS,ANGELONE.NS,IRCON.NS,ZENSARTECH.NS,JWL.NS,IFCI.NS,BLS.NS,GODFRYPHLP.NS,CESC.NS,IIFL.NS,GESHIP.NS,CAMS.NS,RAMCOCEM.NS,JBMA.NS,ACE.NS,HINDCOPPER.NS,WELCORP.NS,HFCL.NS,IEX.NS,CDSL.NS,PCBL.NS,ATUL.NS,HSCL.NS,TRITURBINE.NS,CREDITACC.NS,MANAPPURAM.NS,CHAMBLFERT.NS,AFFLE.NS,GSPL.NS,GRSE.NS,TITAGARH.NS,SWANENERGY.NS,NEWGEN.NS,BEML.NS,TATACHEM.NS,POONAWALLA.NS,BATAINDIA.NS,RAILTEL.NS,LAURUSLABS.NS,NATCOPHARM.NS,TTML.NS,INOXWIND.NS,BRIGADE.NS,INDIAMART.NS,ABREL.NS,TRIDENT.NS,REDINGTON.NS,CASTROLIND.NS,RADICO.NS,TEJASNET.NS,CROMPTON.NS,ITI.NS,KEC.NS,MCX.NS,NH.NS,KARURVYSYA.NS,CYIENT.NS,MGL.NS,RITES.NS,NEULANDLAB.NS,ZENTEC.NS,WELSPUNLIV.NS,BSOFT.NS,PGEL.NS,NCC.NS
2015-01-15,194.0,53.0,398.0,400.0,0.0,0.0,332.0,0.0,1256.0,371.0,508.0,0.0,0.0,681.0,714.0,0.0,0.0,0.0,205.0,1184.0,660.0,0.0,42.0,417.0,263.0,67.0,0.0,72.0,642.0,617.0,340.0,363.0,1312.0,0.0,0.0,1644.0,18.0,1010.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-16,194.0,53.0,398.0,400.0,0.0,0.0,332.0,0.0,1256.0,371.0,508.0,0.0,0.0,681.0,714.0,0.0,0.0,0.0,205.0,1184.0,660.0,0.0,42.0,417.0,263.0,67.0,0.0,72.0,642.0,617.0,340.0,363.0,1312.0,0.0,0.0,1644.0,18.0,1010.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-19,194.0,53.0,398.0,400.0,0.0,0.0,332.0,0.0,1256.0,371.0,508.0,0.0,0.0,681.0,714.0,0.0,0.0,0.0,205.0,1184.0,660.0,0.0,42.0,417.0,263.0,67.0,0.0,72.0,642.0,617.0,340.0,363.0,1312.0,0.0,0.0,1644.0,18.0,1010.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-20,194.0,53.0,398.0,400.0,0.0,0.0,332.0,0.0,1256.0,371.0,508.0,0.0,0.0,681.0,714.0,0.0,0.0,0.0,205.0,1184.0,660.0,0.0,42.0,417.0,263.0,67.0,0.0,72.0,642.0,617.0,340.0,363.0,1312.0,0.0,0.0,1644.0,18.0,1010.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-21,194.0,53.0,398.0,400.0,0.0,0.0,332.0,0.0,1256.0,371.0,508.0,0.0,0.0,681.0,714.0,0.0,0.0,0.0,205.0,1184.0,660.0,0.0,42.0,417.0,263.0,67.0,0.0,72.0,642.0,617.0,340.0,363.0,1312.0,0.0,0.0,1644.0,18.0,1010.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-22,194.0,53.0,398.0,400.0,0.0,0.0,332.0,0.0,1256.0,371.0,508.0,0.0,0.0,681.0,714.0,0.0,0.0,0.0,205.0,1184.0,660.0,0.0,42.0,417.0,263.0,67.0,0.0,72.0,642.0,617.0,340.0,363.0,1312.0,0.0,0.0,1644.0,18.0,1010.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-23,194.0,53.0,398.0,400.0,0.0,0.0,332.0,0.0,1256.0,371.0,508.0,0.0,0.0,681.0,714.0,0.0,0.0,0.0,205.0,1184.0,660.0,0.0,42.0,417.0,263.0,67.0,0.0,72.0,642.0,617.0,340.0,363.0,1312.0,0.0,0.0,1644.0,18.0,1010.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-27,194.0,53.0,398.0,400.0,0.0,0.0,332.0,0.0,1256.0,371.0,508.0,0.0,0.0,681.0,714.0,0.0,0.0,0.0,205.0,1184.0,660.0,0.0,42.0,417.0,263.0,67.0,0.0,72.0,642.0,617.0,340.0,363.0,1312.0,0.0,0.0,1644.0,18.0,1010.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-28,194.0,53.0,398.0,400.0,0.0,0.0,332.0,0.0,1256.0,371.0,508.0,0.0,0.0,681.0,714.0,0.0,0.0,0.0,205.0,1184.0,660.0,0.0,42.0,417.0,263.0,67.0,0.0,72.0,642.0,617.0,340.0,363.0,1312.0,0.0,0.0,1644.0,18.0,1010.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-29,194.0,53.0,398.0,400.0,0.0,0.0,332.0,0.0,1256.0,371.0,508.0,0.0,0.0,681.0,714.0,0.0,0.0,0.0,205.0,1184.0,660.0,0.0,42.0,417.0,263.0,67.0,0.0,72.0,642.0,617.0,340.0,363.0,1312.0,0.0,0.0,1644.0,18.0,1010.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-30,194.0,53.0,398.0,400.0,0.0,0.0,332.0,0.0,1256.0,371.0,508.0,0.0,0.0,681.0,714.0,0.0,0.0,0.0,205.0,1184.0,660.0,0.0,42.0,417.0,263.0,67.0,0.0,72.0,642.0,617.0,340.0,363.0,0.0,0.0,0.0,1644.0,18.0,1010.0,211.0,0.0,10554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-02,194.0,53.0,398.0,400.0,0.0,0.0,332.0,0.0,1256.0,371.0,508.0,0.0,0.0,681.0,714.0,0.0,0.0,0.0,205.0,1184.0,660.0,0.0,42.0,417.0,263.0,67.0,0.0,72.0,642.0,617.0,340.0,363.0,0.0,0.0,0.0,1644.0,18.0,1010.0,211.0,0.0,10554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-03,194.0,53.0,398.0,400.0,0.0,0.0,332.0,0.0,1256.0,371.0,508.0,0.0,0.0,681.0,714.0,0.0,0.0,0.0,205.0,1184.0,660.0,0.0,42.0,417.0,263.0,67.0,0.0,72.0,642.0,617.0,340.0,363.0,0.0,0.0,0.0,1644.0,18.0,1010.0,211.0,0.0,10554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-04,194.0,53.0,398.0,400.0,0.0,0.0,332.0,0.0,1256.0,371.0,508.0,0.0,0.0,681.0,714.0,0.0,0.0,0.0,205.0,1184.0,660.0,0.0,42.0,417.0,263.0,67.0,0.0,72.0,642.0,617.0,340.0,363.0,0.0,0.0,0.0,1644.0,18.0,1010.0,211.0,0.0,10554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-05,194.0,53.0,398.0,400.0,0.0,0.0,332.0,0.0,1256.0,371.0,508.0,0.0,0.0,681.0,714.0,0.0,0.0,0.0,205.0,1184.0,660.0,0.0,42.0,417.0,263.0,67.0,0.0,72.0,642.0,617.0,340.0,363.0,0.0,0.0,0.0,1644.0,18.0,1010.0,211.0,0.0,10554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-06,194.0,53.0,398.0,400.0,0.0,0.0,332.0,0.0,1256.0,371.0,508.0,0.0,0.0,681.0,714.0,0.0,0.0,0.0,205.0,1184.0,660.0,0.0,42.0,417.0,263.0,67.0,0.0,72.0,642.0,617.0,340.0,363.0,0.0,0.0,0.0,1644.0,18.0,1010.0,211.0,0.0,10554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-09,194.0,53.0,398.0,400.0,0.0,0.0,332.0,0.0,1256.0,371.0,508.0,0.0,0.0,681.0,714.0,0.0,0.0,0.0,205.0,1184.0,660.0,0.0,42.0,417.0,263.0,67.0,0.0,72.0,642.0,617.0,340.0,363.0,0.0,0.0,0.0,1644.0,18.0,1010.0,211.0,0.0,10554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-10,194.0,53.0,398.0,400.0,0.0,0.0,332.0,0.0,1256.0,371.0,508.0,0.0,0.0,681.0,714.0,0.0,0.0,0.0,205.0,1184.0,660.0,0.0,42.0,417.0,263.0,67.0,0.0,72.0,642.0,617.0,340.0,363.0,0.0,0.0,0.0,1644.0,18.0,1010.0,211.0,0.0,10554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-11,194.0,53.0,398.0,400.0,0.0,0.0,332.0,0.0,1256.0,371.0,508.0,0.0,0.0,681.0,714.0,0.0,0.0,0.0,205.0,1184.0,660.0,0.0,42.0,417.0,263.0,67.0,0.0,72.0,642.0,617.0,340.0,363.0,0.0,0.0,0.0,0.0,18.0,1010.0,211.0,0.0,10554.0,338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-12,194.0,53.0,398.0,400.0,0.0,0.0,332.0,0.0,1256.0,371.0,508.0,0.0,0.0,681.0,714.0,0.0,0.0,0.0,205.0,1184.0,660.0,0.0,42.0,417.0,263.0,67.0,0.0,72.0,642.0,617.0,340.0,363.0,0.0,0.0,0.0,0.0,18.0,1010.0,211.0,0.0,10554.0,338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-13,194.0,53.0,398.0,400.0,0.0,0.0,0.0,0.0,1256.0,371.0,508.0,0.0,0.0,681.0,714.0,0.0,0.0,0.0,205.0,0.0,660.0,0.0,42.0,417.0,263.0,67.0,0.0,72.0,642.0,617.0,340.0,363.0,0.0,0.0,0.0,0.0,18.0,1010.0,211.0,0.0,0.0,0.0,0.0,893.0,0.0,1205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-16,194.0,53.0,398.0,400.0,0.0,0.0,0.0,0.0,1256.0,371.0,508.0,0.0,0.0,681.0,714.0,0.0,0.0,0.0,205.0,0.0,660.0,0.0,42.0,417.0,263.0,67.0,0.0,72.0,642.0,617.0,340.0,363.0,0.0,0.0,0.0,0.0,18.0,1010.0,211.0,0.0,0.0,0.0,0.0,893.0,0.0,1205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-18,194.0,53.0,398.0,400.0,0.0,0.0,0.0,0.0,1256.0,371.0,508.0,0.0,0.0,681.0,714.0,0.0,0.0,0.0,205.0,0.0,660.0,0.0,42.0,417.0,263.0,67.0,0.0,72.0,642.0,617.0,340.0,363.0,0.0,0.0,0.0,0.0,18.0,1010.0,211.0,0.0,0.0,0.0,0.0,893.0,0.0,1205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-19,194.0,53.0,398.0,400.0,0.0,0.0,0.0,0.0,1256.0,371.0,508.0,0.0,0.0,681.0,714.0,0.0,0.0,0.0,205.0,0.0,660.0,0.0,42.0,417.0,263.0,67.0,0.0,72.0,642.0,617.0,340.0,363.0,0.0,0.0,0.0,0.0,18.0,1010.0,211.0,0.0,0.0,0.0,0.0,893.0,0.0,1205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-20,194.0,53.0,398.0,400.0,0.0,0.0,0.0,0.0,1256.0,371.0,508.0,0.0,0.0,681.0,714.0,0.0,0.0,0.0,205.0,0.0,660.0,0.0,42.0,417.0,263.0,67.0,0.0,72.0,642.0,617.0,340.0,363.0,0.0,0.0,0.0,0.0,18.0,1010.0,211.0,0.0,0.0,0.0,0.0,893.0,0.0,1205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-23,194.0,53.0,398.0,400.0,0.0,0.0,0.0,0.0,1256.0,371.0,508.0,0.0,0.0,681.0,714.0,0.0,0.0,0.0,0.0,10174.0,660.0,0.0,42.0,417.0,263.0,67.0,0.0,72.0,642.0,617.0,340.0,363.0,0.0,0.0,0.0,0.0,18.0,1010.0,211.0,0.0,0.0,0.0,0.0,893.0,0.0,1205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-24,194.0,53.0,398.0,0.0,0.0,0.0,0.0,0.0,1256.0,371.0,508.0,0.0,0.0,681.0,714.0,0.0,0.0,0.0,0.0,0.0,660.0,0.0,42.0,0.0,263.0,0.0,0.0,72.0,642.0,617.0,340.0,0.0,0.0,0.0,0.0,0.0,18.0,1010.0,211.0,0.0,2052.0,0.0,0.0,893.0,0.0,1205.0,1281.0,0.0,84.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
